Ticker symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",31/3/64,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/12,1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",6/7/11,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",31/8/15,718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",3/5/16,1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/97,796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",20/3/17,2488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",9/7/15,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",,874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",30/6/76,1122304
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",1/7/14,1004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",,4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",5/6/00,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",30/4/85,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",12/7/07,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",13/5/16,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",1/7/16,915913
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,"Pasadena, California",20/3/17,1035443
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",,884629
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",1/7/16,352541
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",25/5/12,899866
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2/12/13,1579241
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",23/12/13,1101215
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",3/4/14,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/05,1018724
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",19/9/91,1002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",23/3/15,6201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",30/6/76,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",31/3/80,5272
AMT,American Tower Corp A,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/07,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",4/3/16,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",3/10/05,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",30/8/01,1140859
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/9/13,1037868
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",2/1/92,318154
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",30/9/08,820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",,6281
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",,1156039
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",,315293
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,6769
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",,922864
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/82,320193
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",,6951
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",29/7/81,7084
ARNC,Arconic Inc,Industrials,Aerospace & Defense,"New York, New York",31/3/64,4281
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",31/5/16,354190
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",10/4/07,1267238
T,AT&T Inc,Telecommunication Services,Integrated Telecommunication Services,"Dallas, Texas",30/11/83,732717
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",1/12/89,769397
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",31/3/81,8670
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",,350698
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",,866787
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",10/1/07,915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",31/12/87,8818
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,808362
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/84,9389
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",30/6/76,70858
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",,1390777
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment,"Murray Hill, New Jersey",30/6/75,9892
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",30/9/72,10456
BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina",,92230
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30/9/72,10795
